Uid,Sid,Key,Time,Value,UpdateTime
8283944169,764345307,vitality,1749427200,"{""latest_accumulated_vitality"":42,""suggested_activity_type"":1,""daily_high_intensity_vitality"":2,""date_time"":1749427200,""daily_medium_intensity_vitality"":5,""suggested_activity_duration"":16,""daily_low_intensity_vitality"":1}",1749494666
8283944169,764345307,stress,1749434280,"{""time"":1749434280,""stress"":18}",1749494665
8283944169,764345307,heart_rate,1749434220,"{""time"":1749434220,""bpm"":58}",1749494665
8283944169,764345307,spo2,1749434220,"{""time"":1749434220,""spo2"":98}",1749494665
8283944169,764345307,stress,1749433920,"{""time"":1749433920,""stress"":14}",1749494665
8283944169,764345307,heart_rate,1749433620,"{""time"":1749433620,""bpm"":50}",1749494665
8283944169,764345307,spo2,1749433620,"{""time"":1749433620,""spo2"":97}",1749494665
8283944169,764345307,stress,1749433620,"{""time"":1749433620,""stress"":11}",1749494665
8283944169,764345307,stress,1749433320,"{""time"":1749433320,""stress"":15}",1749494665
8283944169,764345307,spo2,1749433020,"{""time"":1749433020,""spo2"":97}",1749494665
8283944169,764345307,stress,1749433020,"{""time"":1749433020,""stress"":15}",1749494665
8283944169,764345307,heart_rate,1749433020,"{""time"":1749433020,""bpm"":50}",1749494665
8283944169,764345307,stress,1749432720,"{""time"":1749432720,""stress"":16}",1749494665
8283944169,764345307,stress,1749432420,"{""time"":1749432420,""stress"":16}",1749494665
8283944169,764345307,spo2,1749432420,"{""time"":1749432420,""spo2"":97}",1749494665
8283944169,764345307,heart_rate,1749432420,"{""time"":1749432420,""bpm"":50}",1749494665
8283944169,764345307,stress,1749432120,"{""time"":1749432120,""stress"":16}",1749494665
8283944169,764345307,spo2,1749431820,"{""time"":1749431820,""spo2"":97}",1749494665
8283944169,764345307,stress,1749431820,"{""time"":1749431820,""stress"":14}",1749494665
8283944169,764345307,heart_rate,1749431820,"{""time"":1749431820,""bpm"":52}",1749494665
8283944169,764345307,stress,1749431520,"{""time"":1749431520,""stress"":16}",1749494665
8283944169,764345307,stress,1749431220,"{""time"":1749431220,""stress"":17}",1749494665
8283944169,764345307,heart_rate,1749431220,"{""time"":1749431220,""bpm"":49}",1749494665
8283944169,764345307,spo2,1749431220,"{""time"":1749431220,""spo2"":98}",1749494665
8283944169,764345307,stress,1749430920,"{""time"":1749430920,""stress"":20}",1749494665
8283944169,764345307,spo2,1749430620,"{""time"":1749430620,""spo2"":98}",1749494665
8283944169,764345307,stress,1749430620,"{""time"":1749430620,""stress"":17}",1749494665
8283944169,764345307,heart_rate,1749430620,"{""time"":1749430620,""bpm"":55}",1749494665
8283944169,764345307,stress,1749430320,"{""time"":1749430320,""stress"":17}",1749494665
8283944169,764345307,spo2,1749430020,"{""time"":1749430020,""spo2"":98}",1749494665
8283944169,764345307,heart_rate,1749430020,"{""time"":1749430020,""bpm"":54}",1749494665
8283944169,764345307,stress,1749430020,"{""time"":1749430020,""stress"":16}",1749494665
8283944169,764345307,stress,1749429720,"{""time"":1749429720,""stress"":13}",1749494665
8283944169,764345307,spo2,1749429420,"{""time"":1749429420,""spo2"":98}",1749494665
8283944169,764345307,stress,1749429420,"{""time"":1749429420,""stress"":16}",1749494665
8283944169,764345307,heart_rate,1749429420,"{""time"":1749429420,""bpm"":57}",1749494665
8283944169,764345307,stress,1749429120,"{""time"":1749429120,""stress"":16}",1749494665
8283944169,764345307,spo2,1749428820,"{""time"":1749428820,""spo2"":98}",1749494665
8283944169,764345307,heart_rate,1749428820,"{""time"":1749428820,""bpm"":55}",1749494665
8283944169,764345307,stress,1749428820,"{""time"":1749428820,""stress"":16}",1749494665
8283944169,764345307,stress,1749428520,"{""time"":1749428520,""stress"":9}",1749494665
8283944169,764345307,heart_rate,1749428220,"{""time"":1749428220,""bpm"":74}",1749494665
8283944169,764345307,spo2,1749428220,"{""time"":1749428220,""spo2"":97}",1749494665
8283944169,764345307,stress,1749427920,"{""time"":1749427920,""stress"":16}",1749494665
8283944169,764345307,heart_rate,1749427620,"{""time"":1749427620,""bpm"":51}",1749494665
8283944169,764345307,spo2,1749427620,"{""time"":1749427620,""spo2"":98}",1749494665
8283944169,764345307,stress,1749427620,"{""time"":1749427620,""stress"":16}",1749494665
8283944169,764345307,stress,1749427320,"{""time"":1749427320,""stress"":18}",1749494665
8283944169,764345307,min_heart_rate,1749427200,"{""bpm"":49,""date_time"":1749427200,""time"":1749426366,""timezone"":8}",1749494666
8283944169,764345307,max_heart_rate,1749427200,"{""date_time"":1749427200,""bpm"":183,""time"":1749470613,""timezone"":8}",1749494666
8283944169,764345307,spo2,1749427020,"{""time"":1749427020,""spo2"":98}",1749494666
8283944169,764345307,heart_rate,1749427020,"{""time"":1749427020,""bpm"":54}",1749494665
8283944169,764345307,stress,1749427020,"{""time"":1749427020,""stress"":17}",1749494665
8283944169,764345307,stress,1749426720,"{""time"":1749426720,""stress"":16}",1749494665
8283944169,764345307,spo2,1749426420,"{""time"":1749426420,""spo2"":96}",1749494666
